trial,mu_star,correct_answer,user_response,correct
4,0.5,12,2,FALSE
5,1.5,3,3,TRUE
6,1,16,16,TRUE
7,1.5,20,10,FALSE
8,2,20,20,TRUE
9,0,17,12,FALSE
10,0,1,7,FALSE
11,2,9,9,TRUE
12,1.5,2,2,TRUE
13,0.5,9,13,FALSE
14,2,10,10,TRUE
15,0.5,16,20,FALSE
16,0,19,15,FALSE
17,1,7,7,TRUE
18,1.5,6,2,FALSE
19,0.5,9,10,FALSE
20,0,12,7,FALSE
21,0.5,9,7,FALSE
22,0.5,6,15,FALSE
23,2,16,13,FALSE
24,0,18,19,FALSE
25,1,14,14,TRUE
26,2,20,20,TRUE
27,1,8,19,FALSE
28,1.5,8,8,TRUE
29,0,17,14,FALSE
30,2,13,13,TRUE
31,1,1,12,FALSE
32,0.5,5,7,FALSE
33,1.5,19,14,FALSE
34,2,12,12,TRUE
35,0,14,8,FALSE
36,0.5,18,19,FALSE
37,1.5,9,9,TRUE
38,0.5,6,6,TRUE
39,2,8,8,TRUE
40,0,15,9,FALSE
41,1.5,3,3,TRUE
42,1,18,14,FALSE
43,1,17,17,TRUE
44,1.5,4,4,TRUE
45,0,15,7,FALSE
46,0,17,20,FALSE
47,1,20,20,TRUE
48,0.5,9,12,FALSE
49,2,4,4,TRUE
50,2,11,1,FALSE
51,0,9,10,FALSE
52,2,2,9,FALSE
53,0,19,1,FALSE
54,2,3,3,TRUE
55,0.5,12,18,FALSE
56,1.5,3,3,TRUE
57,1,16,18,FALSE
58,1.5,20,20,TRUE
59,2,20,20,TRUE
60,0,17,15,FALSE
61,0,1,7,FALSE
62,2,9,9,TRUE
63,1.5,2,2,TRUE
64,0.5,9,16,FALSE
65,2,10,10,TRUE
66,0.5,16,16,TRUE
67,0,19,7,FALSE
68,1,7,7,TRUE
69,1.5,6,2,FALSE
70,0.5,9,7,FALSE
71,0,12,20,FALSE
72,0.5,9,14,FALSE
73,0.5,6,16,FALSE
74,2,16,13,FALSE
75,0,18,13,FALSE
76,1,14,14,TRUE
77,2,20,20,TRUE
78,1,8,19,FALSE
79,1.5,8,8,TRUE
80,0,17,7,FALSE
81,2,13,15,FALSE
82,1,1,20,FALSE
83,0.5,5,9,FALSE
84,1.5,19,19,TRUE
85,2,12,12,TRUE
86,0,14,8,FALSE
87,0.5,18,13,FALSE
88,1.5,9,9,TRUE
89,0.5,6,6,TRUE
90,2,8,8,TRUE
91,0,15,18,FALSE
92,1.5,3,3,TRUE
93,1,18,14,FALSE
94,1,17,13,FALSE
95,1.5,4,4,TRUE
96,0,15,7,FALSE
97,0,17,19,FALSE
98,1,20,20,TRUE
99,0.5,9,3,FALSE
100,2,4,4,TRUE
101,2,11,11,TRUE
102,0,9,10,FALSE
103,2,2,2,TRUE
104,0,19,18,FALSE
105,1,3,1,FALSE
106,1.5,9,9,TRUE
107,1,2,2,TRUE
108,0,6,5,FALSE
109,1.5,16,16,TRUE
110,2,6,6,TRUE
111,1,20,6,FALSE
112,0,2,2,TRUE
113,1.5,8,8,TRUE
114,2,3,3,TRUE
115,1,1,1,TRUE
116,0,7,14,FALSE
117,1,15,9,FALSE
118,0,6,19,FALSE
119,1,16,7,FALSE
120,1,15,15,TRUE
121,2,19,19,TRUE
122,1.5,12,6,FALSE
123,1.5,8,8,TRUE
124,1,11,17,FALSE
125,0.5,11,11,TRUE
126,0,15,5,FALSE
127,2,13,13,TRUE
128,1.5,16,16,TRUE
129,2,18,18,TRUE
130,0,15,10,FALSE
131,2,15,15,TRUE
132,2,17,17,TRUE
133,1.5,2,2,TRUE
134,0,13,12,FALSE
135,1,8,13,FALSE
136,1,16,16,TRUE
137,2,6,6,TRUE
138,1,15,10,FALSE
139,0,20,5,FALSE
140,2,16,16,TRUE
141,1.5,13,9,FALSE
142,1,7,7,TRUE
143,0,1,15,FALSE
144,1,1,1,TRUE
145,1,6,17,FALSE
146,2,17,17,TRUE
147,2,6,6,TRUE
148,0.5,9,15,FALSE
149,1,20,1,FALSE
150,0.5,1,19,FALSE
151,2,8,8,TRUE
152,1,10,7,FALSE
153,0.5,10,2,FALSE
154,2,3,3,TRUE
155,0.5,12,1,FALSE
156,1.5,3,3,TRUE
157,1,16,16,TRUE
158,1.5,20,10,FALSE
159,2,20,20,TRUE
160,0,17,12,FALSE
161,0,1,7,FALSE
162,2,9,9,TRUE
163,1.5,2,2,TRUE
164,0.5,9,16,FALSE
165,2,10,10,TRUE
166,0.5,16,7,FALSE
167,0,19,16,FALSE
168,1,7,7,TRUE
169,1.5,6,6,TRUE
170,0.5,9,7,FALSE
171,0,12,10,FALSE
172,0.5,9,7,FALSE
173,0.5,6,15,FALSE
174,2,16,16,TRUE
175,0,18,13,FALSE
176,1,14,14,TRUE
177,2,20,20,TRUE
178,1,8,1,FALSE
179,1.5,8,8,TRUE
180,0,17,8,FALSE
181,2,13,13,TRUE
182,1,1,5,FALSE
183,0.5,5,5,TRUE
184,1.5,19,19,TRUE
185,2,12,12,TRUE
186,0,14,4,FALSE
187,0.5,18,9,FALSE
188,1.5,9,9,TRUE
189,0.5,6,7,FALSE
190,2,8,8,TRUE
191,0,15,9,FALSE
192,1.5,3,3,TRUE
193,1,18,14,FALSE
194,2,3,3,TRUE
195,0.5,12,15,FALSE
196,1.5,3,3,TRUE
197,1,16,16,TRUE
198,1.5,20,10,FALSE
199,2,20,20,TRUE
200,0,17,12,FALSE
201,0,1,7,FALSE
202,2,9,9,TRUE
203,1.5,2,2,TRUE
204,2,3,3,TRUE
205,0.5,12,7,FALSE
206,1.5,3,3,TRUE
207,1,16,16,TRUE
208,1.5,20,12,FALSE
209,2,20,20,TRUE
210,0,17,12,FALSE
211,0,1,7,FALSE
212,2,9,9,TRUE
213,1.5,2,2,TRUE
214,0.5,9,16,FALSE
215,2,10,10,TRUE
216,0.5,16,16,TRUE
217,0,19,20,FALSE
218,1,7,7,TRUE
219,1.5,6,6,TRUE
220,0.5,9,7,FALSE
221,0,12,4,FALSE
222,0.5,9,14,FALSE
223,0.5,6,16,FALSE
224,2,16,16,TRUE
225,0,18,19,FALSE
226,1,14,14,TRUE
227,2,20,20,TRUE
228,1,8,8,TRUE
229,1.5,8,8,TRUE
230,0,17,8,FALSE
231,2,13,13,TRUE
232,1,1,5,FALSE
233,0.5,5,14,FALSE
234,1.5,19,20,FALSE
235,2,12,12,TRUE
236,0,14,4,FALSE
237,0.5,18,9,FALSE
238,1.5,9,9,TRUE
239,0.5,6,7,FALSE
240,2,8,8,TRUE
241,0,15,18,FALSE
242,1.5,3,3,TRUE
243,1,18,14,FALSE
244,1,17,17,TRUE
245,1.5,4,4,TRUE
246,0,15,7,FALSE
247,0,17,11,FALSE
248,1,20,20,TRUE
249,0.5,9,12,FALSE
250,2,4,4,TRUE
251,2,11,11,TRUE
252,0,9,19,FALSE
253,2,2,2,TRUE
